Program loaded into memory with addresses:
1000	41
1001	30
1002	84
1003	30
1004	00
1005	30
1006	82
1007	30
1008	03
1009	10
100A	84
100B	60
100C	C3
100D	00
100E	00
100F	20
1010	C0
1011	30
1012	00
1013	20
1014	xx
1015	xx
1016	xx
1017	xx
1018	xx
1019	xx
101A	xx
101B	xx
101C	xx
101D	xx
101E	xx
101F	xx
1020	xx
1021	xx
1022	xx
1023	xx
1024	xx
1025	xx
1026	xx
1027	xx
1028	xx
1029	xx
102A	xx
102B	xx
102C	xx
102D	xx
102E	xx
102F	xx
1030	xx
1031	xx
1032	xx
1033	xx
1034	xx
1035	xx
1036	xx
1037	xx
1038	xx
1039	xx
103A	xx
103B	xx
103C	xx
103D	xx
103E	xx
103F	40
1040	30
1041	00
1042	30
1043	0E
1044	50
1045	03
1046	30
1047	8D
1048	50
1049	82
104A	30
104B	03
104C	50
104D	45
104E	30
104F	C2
1050	50
1051	83
1052	30
